exuberance ,The quality of being exuberant; cheerful or vigorous enthusiasm; liveliness.                                       ,noun
swoon      ,"swoon (over somebody) to feel very excited, emotional, etc. about somebody that you think is sexually attractive" ,noun
dwindle    ,"To decrease, shrink, diminish, reduce in size or intensity."                                                      ,verb
inaugurate ,To induct into office with a formal ceremony.                                                                      ,verb
halt       ,To limp; move with a limping gait.                                                                                 ,verb
croquet    ,"(games) A game played on a lawn, in which players use mallets to drive balls through hoops (wickets)."            ,noun
ridge      ,The back of any animal; especially the upper or projecting part of the back of a quadruped.                        ,noun
furrow     ,"a long narrow cut in the ground, especially one made by a plough for planting seeds in (rãnh, đường cày...."      ,noun
arch       ,An inverted U shape.                                                                                               ,noun
quill      ,"The lower shaft of a feather, specifically the region lacking barbs."                                             ,noun
aphentasia ,"Aphantasia is a condition that makes it hard or impossible to create mental images."                              ,noun